id,Zip,Price,Price of square meter,Building Cond. values,Number of facades,Number of rooms,Living area,Furnished,Kitchen values,Surface of the land,Primary energy consumption,Energy_classes,Terrace,Terrace surface,Garden,Garden surface,Open fire,Swimming pool
10580987,1000,289000,3612.5,3.0,2.0,2.0,80.0,0.0,3.0,,138.0,6,1,2.0,0,0.0,0.0,0.0
10581324,9300,508000,2208.7,4.0,2.0,2.0,230.0,0.0,1.0,,189.0,6,0,0.0,0,0.0,0.0,0.0
10581323,9300,508000,2208.7,4.0,2.0,2.0,230.0,0.0,1.0,,189.0,6,0,0.0,0,0.0,0.0,0.0
10581301,1180,525000,3723.4,4.0,2.0,2.0,141.0,0.0,3.0,,230.0,5,1,8.0,0,0.0,0.0,0.0
10579929,2000,565000,3575.95,3.0,2.0,2.0,158.0,0.0,1.0,,294.0,5,1,25.0,0,0.0,1.0,0.0
10585145,1180,315000,4375.0,3.0,2.0,2.0,72.0,0.0,1.0,,193.0,6,1,,0,0.0,0.0,0.0
10585642,9052,354000,2269.23,3.0,2.0,4.0,156.0,0.0,3.0,,228.0,5,1,26.0,0,0.0,0.0,0.0
10587177,2600,369000,2882.81,3.0,2.0,3.0,128.0,0.0,1.0,,154.0,6,1,4.0,0,0.0,0.0,0.0
10587178,2610,369000,2882.81,3.0,2.0,3.0,128.0,0.0,1.0,,154.0,6,1,4.0,0,0.0,0.0,0.0
10585204,8790,415000,3458.33,4.0,,2.0,120.0,0.0,3.0,,204.0,5,1,25.0,0,0.0,0.0,0.0
10585257,1200,425000,3899.08,4.0,2.0,3.0,109.0,0.0,3.0,,106.0,6,1,6.0,0,0.0,0.0,0.0
10586370,1000,479000,3801.59,3.0,2.0,3.0,126.0,0.0,3.0,,240.0,5,1,27.0,0,0.0,0.0,0.0
10572751,1020,199000,2726.03,2.0,,2.0,73.0,0.0,2.0,,270.0,5,1,5.0,0,0.0,0.0,0.0
10573840,1000,225000,5921.05,3.0,2.0,1.0,38.0,1.0,1.0,,269.0,5,1,2.0,0,0.0,0.0,0.0
10573835,1000,255000,3805.97,3.0,2.0,2.0,67.0,1.0,3.0,,229.0,5,1,10.0,0,0.0,0.0,0.0
10572614,1932,260000,2921.35,3.0,2.0,2.0,89.0,0.0,3.0,,262.0,5,0,0.0,0,0.0,0.0,1.0
